in_dreamteam,selected_by_percent,goals_conceded,status,news,creativity,chance_of_playing_this_round,loans_in,loaned_in,saves,transfers_out_event,event_points,value_season,goals_scored,red_cards,element_type,ep_next,penalties_missed,special,squad_number,team,ea_index,dreamteam_count,second_name,web_name,photo,own_goals,transfers_out,first_name,threat,minutes,code,ep_this,influence,chance_of_playing_next_round,bonus,value_form,cost_change_event_fall,bps,clean_sheets,loaned_out,penalties_saved,cost_change_start,transfers_in,total_points,form,now_cost,ict_index,id,loans_out,cost_change_start_fall,transfers_in_event,points_per_game,news_added,cost_change_event,yellow_cards,assists,team_code
False,0.3,0,i,Hamstring injury - Expected back 09 Feb,0.0,0,0,0,0,301,0,0.0,0,0,4,0.0,0,False,,2,0,0,Solanke,Solanke,154566.jpg,0,21858,Dominic,0.0,0,154566,0.0,0.0,0,0,0.0,0,0,0,0,0,-3,12423,0,0.0,47,0.0,259,0,3,313,0.0,2018-11-28T00:01:15Z,0,0,0,91
False,0.0,13,a,,128.3,75,0,0,0,26,0,1.0,0,0,2,-0.4,0,False,21,2,0,0,Rico,Rico,171129.jpg,0,7282,Diego,18.0,421,171129,0.0,74.0,75,0,0.0,1,63,0,0,0,-4,6627,4,0.0,41,22.0,473,0,4,25,0.6,2018-09-28T10:01:14Z,-1,0,0,91
False,0.3,30,a,,145.4,100,0,0,0,524,3,9.1,1,0,3,1.1,0,False,8,2,0,0,Lerma,Lerma,152551.jpg,1,41743,Jefferson,152.0,1559,152551,1.6,307.0,100,3,0.4,0,221,6,0,0,0,42160,41,1.6,45,60.5,494,0,0,384,2.3,2018-11-25T17:01:14Z,0,9,1,91
False,2.8,27,n,Away on international duty with Australia at the Asian Cup.  - Expected back 09 Feb,0.0,0,0,0,60,3369,0,14.3,0,0,1,0.0,0,False,1,3,0,0,Ryan,Ryan,131897.jpg,0,348945,Mathew,0.0,1710,131897,0.0,431.0,0,7,0.1,0,318,3,0,0,-1,230220,63,0.6,44,43.1,47,0,1,166,3.3,2018-12-26T22:31:37Z,0,0,0,36
False,2.7,28,a,,50.6,100,0,0,0,2307,1,12.7,2,1,2,2.5,0,False,5,3,0,1,Dunk,Dunk,83299.jpg,0,294608,Lewis,146.0,1801,83299,1.5,475.2,100,5,0.4,0,332,4,0,0,0,283386,57,2.0,45,67.4,48,0,0,1124,2.7,2018-12-22T17:01:17Z,0,3,0,36
False,4.5,27,a,,48.3,100,0,0,0,3510,1,16.3,4,1,2,4.3,0,False,4,3,0,3,Duffy,Duffy,61933.jpg,0,443291,Shane,259.0,1737,61933,3.3,616.8,100,6,0.8,0,347,4,0,0,1,522806,75,3.8,46,92.5,49,0,-1,11532,3.8,2018-12-04T22:01:16Z,0,3,2,36
False,0.4,6,a,,65.3,100,0,0,0,438,0,7.0,0,0,2,0.5,0,False,2,3,0,1,Saltor Grau,Bruno,11352.jpg,0,48365,Bruno,14.0,619,11352,-0.5,104.4,100,4,0.0,0,132,3,0,0,-1,49964,31,0.0,44,18.4,50,0,1,34,3.9,2018-12-01T17:31:14Z,0,2,1,36
False,0.1,22,a,,101.0,100,0,0,0,81,1,7.5,0,0,2,1.3,0,False,3,3,0,0,Bong,Bong,42748.jpg,0,10292,Gaëtan,2.0,1265,42748,0.3,150.4,100,0,0.2,0,172,3,0,0,-1,7378,33,0.8,44,25.2,51,0,1,135,2.1,2018-10-20T13:01:16Z,0,0,0,36
False,5.0,0,n,Joined Fortuna Dusseldorf on loan for the rest of the season on 18/1. - Expected back 30 Jun,0.0,0,0,0,0,7211,0,0.0,0,0,2,0.0,0,False,29,3,0,0,Suttner,Suttner,43808.jpg,0,291162,Markus,0.0,0,43808,0.0,0.0,0,0,0.0,0,0,0,0,0,-2,119460,0,0.0,38,0.0,52,0,2,748,0.0,2019-01-18T19:01:19Z,0,0,0,36
False,2.1,0,a,,0.0,,0,0,0,1656,0,0.0,0,0,2,0.5,0,False,21,3,0,0,Schelotto,Schelotto,74375.jpg,0,99706,Ezequiel,0.0,0,74375,-0.5,0.0,,0,0.0,0,0,0,0,0,-2,77500,0,0.0,38,0.0,53,0,2,4006,0.0,,0,0,0,36
