Player,Round,Opponent,Opponent_FDR,isHome,Points,minutes,Opponent_PrevWeek,Opponent_FDR_PrevWeek,isHome_PrevWeek,Points_PrevWeek,Opponent_2PrevWeek,Opponent_FDR_2PrevWeek,isHome_2PrevWeek,Points_2PrevWeek,isCaptain,ICT_index,Threat,Influence,Transfers_Balance,Value,BPS,DefenseOdds,OffenceOdds
Cathcart,1,2,3,1,1,6,90,0,0,0,0,0,0,0,0,0,1.7,6.0,10.4,0,45,23,48.48,27.68
Martina,1,2,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,64.06,32.59
Christie,1,2,7,2,1,1,90,0,0,0,0,0,0,0,0,0,4.6,9.0,17.8,0,45,12,20.97,56.58
Soares,1,2,4,3,1,1,55,0,0,0,0,0,0,0,0,0,0.8,2.0,4.2,0,45,4,31.42,19.53
Azpilicueta,1,2,10,2,0,6,90,0,0,0,0,0,0,0,0,0,3.3,0.0,22.6,0,65,29,25.57,10.63
Blind,1,2,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,22.46,10.04
Stephens,1,2,18,3,0,1,90,0,0,0,0,0,0,0,0,0,3.8,4.0,21.8,0,45,14,63.12,36.72
Amartey,1,3,14,4,0,1,62,0,0,0,0,0,0,0,0,0,1.4,0.0,0.8,0,45,6,88.02,50.76
Drinkwater,1,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,25.57,10.63
Sturridge,1,4,19,3,1,5,3,0,0,0,0,0,0,0,0,0,8.8,50.0,35.0,0,60,26,7.79,-4.02
da Silva,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,6.26,41.49
Batth,1,2,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,40,0,50.11,24.08
Ings,1,4,4,3,1,1,34,0,0,0,0,0,0,0,0,0,6.4,16.0,6.0,0,55,6,31.42,19.53
Rose,1,2,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,60,0,17.33,43.28
Simpson,1,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,88.02,50.76
Ward,1,1,2,3,0,1,28,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,45,3,78.22,38.45
Ward,1,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,88.02,50.76
Welbeck,1,4,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,65,0,25.96,80.95
Williams,1,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,47.62,86.22
Gosling,1,3,5,1,1,3,90,0,0,0,0,0,0,0,0,0,3.5,1.0,23.2,0,50,12,37.06,14.08
Janmaat,1,2,3,1,1,7,90,0,0,0,0,0,0,0,0,0,4.3,21.0,15.2,0,50,25,48.48,27.68
Hoilett,1,3,2,3,0,2,90,0,0,0,0,0,0,0,0,0,4.5,8.0,11.8,0,55,6,78.22,38.45
Zappacosta,1,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,25.57,10.63
Brooks,1,3,5,1,1,3,66,0,0,0,0,0,0,0,0,0,2.5,19.0,3.4,0,50,3,37.06,14.08
Button,1,1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,40,0,63.12,36.72
De Gea,1,1,11,3,1,3,90,0,0,0,0,0,0,0,0,0,2.1,0.0,21.2,0,60,15,22.46,10.04
Luiz Moreira Marinho,1,2,10,2,0,5,90,0,0,0,0,0,0,0,0,0,2.2,0.0,20.2,0,55,27,25.57,10.63
Silva,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,85,0,6.26,41.49
Sánchez,1,3,15,3,0,5,90,0,0,0,0,0,0,0,0,0,6.2,15.0,35.6,0,60,24,17.33,43.28
Klaassen,1,3,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,60,0,64.06,32.59
Pröpper,1,3,18,3,0,2,90,0,0,0,0,0,0,0,0,0,2.3,9.0,12.0,0,50,9,63.12,36.72
Yedlin,1,2,17,4,1,1,90,0,0,0,0,0,0,0,0,0,0.8,1.0,6.0,0,45,6,72.81,34.74
Rice,1,2,12,5,0,0,45,0,0,0,0,0,0,0,0,0,0.4,0.0,3.0,0,45,5,50.33,104.45
Lovren,1,2,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,7.79,-4.02
Gray,1,4,14,4,0,2,90,0,0,0,0,0,0,0,0,0,6.1,38.0,14.4,0,55,15,88.02,50.76
Odoi,1,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,20.97,56.58
Rico,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,37.06,14.08
Jota,1,3,8,2,1,5,90,0,0,0,0,0,0,0,0,0,1.9,5.0,4.2,0,65,15,50.11,24.08
Quina,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,48.48,27.68
Calvert-Lewin,1,4,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,64.06,32.59
Solanke,1,4,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,7.79,-4.02
